"t_id","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","c1"
13843,121635696,70948499,104859901,64487433,67291564,99888001,120855035,118900063,103961295,68026428,75116203,70779268,108541292,130290532,"c1_3"
13677,122457520,119275597,89395036,121530796,106664118,122505169,71303356,125139884,90914941,129892386,136839335,119799879,115671177,82321425,"c1_3"
547,85816395,122748938,73138393,126927201,120156481,132651109,71907799,81795460,75554333,109701400,117178630,122715355,131488360,71829202,"c1_18"
11848,107753380,70452947,77627415,83166525,97001377,84412316,127533369,126175140,87195113,67047521,69009591,71585038,77226141,126533869,"c1_8"
17231,133375551,132435029,131709678,114167003,116075728,79036416,65555700,131661983,135815633,135056698,137648916,130062214,90708192,65681379,"c1_14"
969,122946356,113703943,134600174,102772597,111202668,84557390,71917925,124329095,136375579,135806604,135922439,107249801,83902427,66423154,"c1_1"
16249,118489822,123279126,109504093,85590910,92013700,101384304,69916843,118489674,115500974,110968785,111935631,111218059,97651443,77073765,"c1_20"
14812,86441621,87447613,73467093,90273132,81297421,84938547,93851675,88200685,75692505,75628772,92800779,88897640,76821488,110887318,"c1_3"
6897,81534662,132135619,84443341,126419290,133438757,84419543,104647186,95481351,81273194,98304716,94965521,117637121,121473298,96593582,"c1_24"
11019,106496117,113251200,131689526,96993514,102553159,80545560,86386156,114363404,128614403,119507876,112198238,104952583,77081108,81940601,"c1_18"
10026,76579253,102526645,89387633,114657618,127141168,96294178,80560702,69206017,91234321,120325201,125043296,99352577,102498780,91557539,"c1_3"
741,81799166,76956199,115494179,102794263,121394422,122505169,120881273,81985674,109576254,77090602,73612529,66061496,115089128,120232188,"c1_16"
10751,73411497,119038853,83886096,101810590,102498624,122353049,82168356,107483173,115451688,120458171,135397650,128977023,108134756,97053760,"c1_8"
3528,111706310,87210586,103767759,120673715,101777411,112179590,115446492,94503291,91358735,87609749,98074809,87915436,121374072,97338919,"c1_8"
16563,97104623,82154186,114963689,113886733,101777408,105395341,93408517,94109704,110247874,126004638,119015421,94254379,125644638,82595606,"c1_24"
4057,81267035,87023418,94409348,71370473,81529100,106750896,127011194,77725833,92290657,90964439,87097872,83324000,115671177,131339567,"c1_15"
12188,121784104,110261065,104087053,108551824,102891750,89129394,76644559,119611977,99614732,126451475,125963639,111200170,95192975,76825664,"c1_3"
15178,102516205,119670087,82851921,109598286,107669715,100270282,76218435,102154417,68911410,125854121,131392880,112984612,84050556,86874475,"c1_1"
523,91589069,132994324,79179439,127022821,111387153,89163706,94511144,77071230,69218871,131256104,136773759,128975300,95805596,117163514,"c1_14"
8068,81009999,81330211,100139350,91838158,81298075,105659561,105120537,75210310,91264335,76940172,79708802,87438340,114599112,120588686,"c1_10"
12672,112751422,81290030,72912608,108946159,121150941,95688431,104991782,113516831,74481727,81534416,75116203,70779268,84688957,77627501,"c1_11"
16117,92406041,123507326,100532349,101978100,108010149,128978407,93494102,88867703,111161713,108676491,104831806,112784097,120199902,101590610,"c1_3"
1058,81534662,128450956,135548541,91226594,102664352,128978979,94511144,89132840,134565802,103945615,87556148,111689765,108645557,105808553,"c1_10"
12119,81790888,119539477,73835269,127139862,121983535,101789030,65598550,89916734,75554333,110267765,118236362,112066573,95682561,72368318,"c1_4"
17408,111454506,92417184,131382602,127270932,82313762,105917649,120587325,90705374,127926507,86686461,72889001,112885941,120921816,116271528,"c1_17"
17709,91634299,76866345,94200679,65143604,76596363,79387966,121766289,89132840,98633683,70847543,68445906,72496421,76821488,116129793,"c1_11"
11257,106430480,82867426,78250626,107455856,115736710,75120603,99680307,82971775,73960417,98818642,104188176,76837899,76886835,110658876,"c1_14"
18633,76824588,123735620,130675073,120586406,107295268,122170647,121638143,82110938,128057531,120458171,74975795,129111012,108596322,107219818,"c1_17"
7972,86663833,98407344,120324126,108288006,103143148,105649668,86349056,68781050,91264335,76623179,95158295,94109781,90703562,106585556,"c1_3"
16657,101174213,113837158,89751600,101604481,98304001,111156070,94503506,82432607,80866015,116417652,130221266,112347074,120195263,87170815,"c1_8"
